Mask No,PRODUCT_NAME,LEASE_TENOR_INCLUDING_HP_cluster,VEHICLE_AGE,YOM,LEASE_TENOR_INCLUDING_HP,TOTAL INCOME_NUM,TOTAL INCOME,CUSTOMER AGE,Exp,Sub_purpose_code_based_on_risk,CRIB_SCORE,Percentage_of_Total_Current_Balance_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Arrears_Amount_to_Total_Amount_Granted_Limit_slabs,Percentage_of_Total_Installments_to_Total_Current_Balance_slabs,Cluster
1113,Three Wheeler-Lease-Registered,36-48,9,2015,37,85000,80000-100000,31,0.515537089,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1114,Three Wheeler-Lease-Registered,48-60,13,2011,49,75000,60000-80000,21,0.535461055,Low_risk_sub_purpose_code,Missing,Missing,Missing,Missing,Green
1115,Three Wheeler-Lease-Registered,24-36,11,2013,25,60000,60000-80000,51,0.256053118,Low_risk_sub_purpose_code,0-20,Missing,Missing,Missing,Green
1116,Three Wheeler-Lease-Registered,48-60,16,2008,49,75000,60000-80000,37,0.617650238,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,less than 1 percentage,between 2- 5 percentage,Green
1117,Three Wheeler-Lease-Registered,36-48,15,2009,37,80000,80000-100000,39,0.634469552,Low_risk_sub_purpose_code,20-40,between 150 - 200 percentage,less than 1 percentage,between 2- 5 percentage,Green
1118,Three Wheeler-Lease-Registered,24-36,14,2010,31,100000,100000-120000,29,0.27650165,Low_risk_sub_purpose_code,Above 80,between 50 - 100 percentage,between 1 - 5 percentage,between 2- 5 percentage,Green
1119,Three Wheeler-Lease-Registered,36-48,10,2014,37,100000,100000-120000,43,0.585035955,Low_risk_sub_purpose_code,20-40,less than 50 percentage,between 10 - 15 percentage,above 10 percentage,Green
1120,CASH IN HAND,36-48,13,2011,37,150000,120000+,56,0.518746839,Medium_risk_sub_purpose_code,Above 80,less than 50 percentage,less than 1 percentage,between 5- 10 percentage,Green
1121,Three Wheeler-Lease-Registered,48-60,13,2011,49,130000,120000+,53,0.646471106,Low_risk_sub_purpose_code,0-20,less than 50 percentage,between 1 - 5 percentage,between 5- 10 percentage,Red
1122,Three Wheeler-Lease-Registered,36-48,14,2010,37,65000,60000-80000,37,0.618111556,Low_risk_sub_purpose_code,60-80,between 150 - 200 percentage,above 15 percentage,between 2- 5 percentage,Red
1123,Three Wheeler-Lease-Registered,48-60,13,2011,49,80000,80000-100000,40,0.430809618,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 1 - 5 percentage,above 10 percentage,Green
1124,Three Wheeler-Lease-Registered,48-60,13,2011,49,66000,60000-80000,25,0.583111226,Medium_risk_sub_purpose_code,Missing,between 100 - 150 percentage,above 15 percentage,between 5- 10 percentage,Red
1125,Three Wheeler-Lease-Registered,24-36,15,2009,25,50000,40000-60000,29,0.739990448,Low_risk_sub_purpose_code,40-60,between 50 - 100 percentage,between 5 - 10 percentage,above 10 percentage,Green
1127,Three Wheeler-Lease-Registered,48-60,9,2015,49,65000,60000-80000,24,0.452255652,Medium_risk_sub_purpose_code,20-40,Missing,Missing,Missing,Green
